Sample_Number,Hour,Load_L1,Load_L2,Load_L3,Wind_W1,Wind_W2
5,20,70,150,150,10,10
5,21,150,150,70,10,10
5,22,20,70,150,10,10
5,23,70,150,70,10,10
6,0,70,150,20,10,10
6,1,150,70,70,10,10
6,2,70,20,20,10,10
6,3,20,70,20,10,10
6,4,150,70,70,10,10
6,5,150,150,70,10,10
6,6,70,70,70,10,10
6,7,20,150,70,10,10
6,8,150,70,20,10,10
6,9,20,70,20,10,10
6,10,20,150,70,10,10
6,11,150,20,70,10,10
6,12,70,70,20,10,10
6,13,70,150,20,10,10
6,14,20,70,150,10,10
6,15,70,70,20,10,10
6,16,70,70,150,10,10
6,17,150,20,150,10,10
6,18,20,150,70,10,10
6,19,70,70,70,10,10
6,20,150,70,150,10,10
6,21,70,150,20,10,10
6,22,150,20,70,10,10
6,23,20,70,70,10,10
7,0,150,20,20,10,10
7,1,70,150,70,10,10
7,2,150,70,150,10,10
7,3,20,20,70,10,10
7,4,20,150,150,10,10
7,5,150,20,150,10,10
7,6,70,150,150,10,10
7,7,70,150,150,10,10
7,8,150,150,150,10,10
7,9,20,150,70,10,10
7,10,70,20,70,10,10
7,11,20,70,150,10,10
7,12,150,70,150,10,10
7,13,70,20,70,10,10
7,14,20,70,20,10,10
7,15,70,70,150,10,10
7,16,70,20,70,10,10
7,17,20,20,20,10,10
7,18,70,150,150,10,10
7,19,20,70,20,10,10
7,20,150,20,70,10,10
7,21,70,20,20,10,10
7,22,70,20,70,10,10
7,23,150,150,70,10,10
8,0,150,70,150,10,10
8,1,150,70,150,10,10
8,2,70,150,20,10,10
8,3,150,20,70,10,10
8,4,20,20,150,10,10
8,5,150,70,150,10,10
8,6,70,20,150,10,10
8,7,70,70,70,10,10
8,8,20,20,70,10,10
8,9,150,150,70,10,10
8,10,20,20,150,10,10
8,11,20,150,70,10,10
8,12,150,20,150,10,10
8,13,70,20,150,10,10
8,14,150,70,150,10,10
8,15,150,70,150,10,10
8,16,70,150,150,10,10
8,17,150,150,20,10,10
8,18,20,150,70,10,10
8,19,70,70,150,10,10
8,20,150,150,20,10,10
8,21,70,20,20,10,10
8,22,20,150,20,10,10
8,23,20,150,70,10,10
9,0,20,150,20,10,10
9,1,20,150,70,10,10
9,2,20,150,70,10,10
9,3,20,150,150,10,10
9,4,150,70,150,10,10
9,5,70,70,70,10,10
9,6,150,150,150,10,10
9,7,150,20,70,10,10
9,8,70,150,20,10,10
9,9,70,20,20,10,10
9,10,150,150,70,10,10
9,11,70,20,20,10,10
9,12,150,20,20,10,10
9,13,20,150,70,10,10
9,14,20,70,70,10,10
9,15,150,70,70,10,10
9,16,20,20,20,10,10
9,17,70,20,70,10,10
9,18,70,20,70,10,10
9,19,70,150,70,10,10
9,20,20,70,20,10,10
9,21,20,20,150,10,10
9,22,70,20,70,10,10
9,23,70,70,70,10,10
10,0,150,70,70,10,10
10,1,150,150,150,10,10
10,2,20,70,20,10,10
10,3,70,150,70,10,10
10,4,20,150,70,10,10
10,5,20,20,150,10,10
10,6,20,150,70,10,10
10,7,70,20,70,10,10
10,8,70,150,20,10,10
10,9,20,70,70,10,10
10,10,150,150,150,10,10
10,11,70,150,20,10,10
10,12,20,20,150,10,10
10,13,150,70,70,10,10
10,14,20,70,70,10,10
10,15,150,150,70,10,10
10,16,150,70,20,10,10
10,17,150,150,20,10,10
10,18,150,70,150,10,10
10,19,70,70,20,10,10
10,20,150,20,150,10,10
10,21,70,70,20,10,10
10,22,70,70,70,10,10
10,23,20,150,20,10,10
11,0,150,20,70,10,10
11,1,150,150,70,10,10
11,2,20,70,70,10,10
11,3,20,150,70,10,10
11,4,70,20,20,10,10
11,5,150,150,150,10,10
11,6,150,150,70,10,10
11,7,150,20,70,10,10
11,8,70,150,70,10,10
11,9,150,70,150,10,10
11,10,20,150,150,10,10
11,11,20,150,20,10,10
11,12,150,70,20,10,10
11,13,20,70,150,10,10
11,14,150,70,70,10,10
11,15,20,70,150,10,10
11,16,70,20,150,10,10
11,17,150,150,70,10,10
11,18,20,20,20,10,10
11,19,70,150,20,10,10
11,20,150,70,150,10,10
11,21,20,150,70,10,10
11,22,20,20,150,10,10
11,23,70,70,20,10,10
12,0,20,70,150,10,10
12,1,20,70,150,10,10
12,2,150,150,70,10,10
12,3,20,70,20,10,10
12,4,150,70,20,10,10
12,5,150,150,150,10,10
12,6,20,70,70,10,10
12,7,20,70,20,10,10
12,8,150,150,150,10,10
12,9,150,20,150,10,10
12,10,150,150,70,10,10
12,11,150,20,20,10,10
12,12,20,150,70,10,10
12,13,150,150,70,10,10
12,14,20,70,20,10,10
12,15,70,70,70,10,10
12,16,20,20,150,10,10
12,17,150,20,20,10,10
12,18,150,150,150,10,10
12,19,150,70,70,10,10
12,20,20,150,20,10,10
12,21,150,20,150,10,10
12,22,150,150,150,10,10
12,23,20,150,70,10,10
13,0,70,70,20,10,10
13,1,20,70,150,10,10
13,2,70,150,150,10,10
13,3,150,70,20,10,10
13,4,150,70,70,10,10
13,5,70,20,70,10,10
13,6,150,150,20,10,10
13,7,20,150,150,10,10
13,8,150,20,70,10,10
13,9,150,150,70,10,10
13,10,150,20,20,10,10
13,11,150,150,20,10,10
13,12,20,70,20,10,10
13,13,70,150,70,10,10
13,14,20,20,20,10,10
13,15,20,150,150,10,10
13,16,20,70,150,10,10
13,17,20,150,20,10,10
13,18,70,70,20,10,10
13,19,20,150,150,10,10
13,20,150,150,70,10,10
13,21,20,20,20,10,10
13,22,20,150,150,10,10
13,23,70,150,150,10,10
14,0,20,150,20,10,10
14,1,150,70,20,10,10
14,2,150,150,20,10,10
14,3,20,70,70,10,10
14,4,70,70,20,10,10
14,5,20,20,70,10,10
14,6,70,20,70,10,10
14,7,150,150,150,10,10
14,8,20,20,70,10,10
14,9,150,150,20,10,10
14,10,20,20,20,10,10
14,11,150,70,150,10,10
14,12,70,20,20,10,10
14,13,70,20,20,10,10
14,14,20,150,20,10,10
14,15,150,150,20,10,10
14,16,150,70,150,10,10
14,17,70,150,70,10,10
14,18,20,150,20,10,10
14,19,70,150,20,10,10
14,20,20,20,20,10,10
14,21,150,20,20,10,10
14,22,20,150,150,10,10
14,23,20,20,150,10,10
15,0,70,150,70,10,10
15,1,70,20,70,10,10
15,2,70,70,20,10,10
15,3,20,20,20,10,10
15,4,70,70,150,10,10
15,5,20,70,150,10,10
15,6,20,150,150,10,10
15,7,20,20,20,10,10
15,8,150,70,150,10,10
15,9,150,150,70,10,10
15,10,20,20,20,10,10
15,11,150,150,20,10,10
15,12,20,20,70,10,10
15,13,20,150,150,10,10
15,14,150,20,70,10,10
15,15,20,70,20,10,10
15,16,20,150,70,10,10
15,17,70,20,150,10,10
15,18,20,150,150,10,10
15,19,70,20,150,10,10
15,20,150,20,150,10,10
15,21,70,20,20,10,10
15,22,20,70,70,10,10
15,23,70,70,70,10,10
16,0,70,70,20,10,10
16,1,20,70,70,10,10
16,2,70,150,20,10,10
16,3,20,70,70,10,10
16,4,70,70,150,10,10
16,5,150,70,20,10,10
16,6,70,20,150,10,10
16,7,70,150,150,10,10
16,8,150,150,20,10,10
16,9,70,70,150,10,10
16,10,20,70,70,10,10
16,11,70,20,20,10,10
16,12,20,70,70,10,10
16,13,150,20,150,10,10
16,14,20,150,150,10,10
16,15,20,70,70,10,10
16,16,70,150,70,10,10
16,17,150,20,150,10,10
16,18,70,20,70,10,10
16,19,20,20,20,10,10
16,20,70,20,20,10,10
16,21,150,70,150,10,10
16,22,20,20,150,10,10
16,23,20,70,150,10,10
17,0,150,20,20,10,10
17,1,20,150,20,10,10
17,2,70,150,70,10,10
17,3,70,150,150,10,10
17,4,70,150,20,10,10
17,5,70,70,20,10,10
17,6,70,150,70,10,10
17,7,20,70,70,10,10
17,8,70,20,20,10,10
17,9,70,70,20,10,10
17,10,20,150,20,10,10
17,11,70,20,20,10,10
17,12,20,70,150,10,10
17,13,70,150,20,10,10
17,14,20,70,150,10,10
17,15,150,20,150,10,10
17,16,70,70,70,10,10
17,17,150,150,150,10,10
17,18,70,20,150,10,10
17,19,70,20,150,10,10
17,20,20,20,150,10,10
17,21,150,20,150,10,10
17,22,70,70,150,10,10
17,23,20,70,150,10,10
18,0,150,70,20,10,10
18,1,20,20,70,10,10
18,2,20,150,70,10,10
18,3,70,20,70,10,10
18,4,70,150,150,10,10
18,5,70,70,150,10,10
18,6,70,150,70,10,10
18,7,150,20,70,10,10
18,8,150,70,20,10,10
18,9,70,150,20,10,10
18,10,150,20,70,10,10
18,11,70,70,70,10,10
18,12,150,70,70,10,10
18,13,70,20,70,10,10
18,14,70,20,150,10,10
18,15,150,150,150,10,10
18,16,20,70,150,10,10
18,17,20,70,150,10,10
18,18,20,20,70,10,10
18,19,150,70,20,10,10
18,20,150,70,150,10,10
18,21,150,150,70,10,10
18,22,20,70,150,10,10
18,23,70,150,70,10,10
19,0,20,20,20,10,10
19,1,70,70,150,10,10
19,2,20,150,20,10,10
19,3,150,150,20,10,10
19,4,150,20,20,10,10
19,5,150,150,70,10,10
19,6,150,150,70,10,10
19,7,20,70,150,10,10
19,8,20,20,150,10,10
19,9,150,20,70,10,10
19,10,20,20,70,10,10
19,11,150,70,150,10,10
19,12,20,150,70,10,10
19,13,150,150,20,10,10
19,14,150,20,150,10,10
19,15,150,20,70,10,10
19,16,20,70,70,10,10
19,17,150,20,70,10,10
19,18,20,150,20,10,10
19,19,20,20,150,10,10
19,20,70,20,70,10,10
19,21,70,20,70,10,10
19,22,70,20,150,10,10
19,23,150,150,150,10,10
20,0,150,20,150,10,10
20,1,150,150,20,10,10
20,2,70,150,150,10,10
20,3,20,20,150,10,10
20,4,150,20,20,10,10
20,5,20,70,150,10,10
20,6,70,20,150,10,10
20,7,20,150,20,10,10
20,8,70,150,70,10,10
20,9,70,20,20,10,10
20,10,20,20,70,10,10
20,11,70,70,70,10,10
20,12,150,20,20,10,10
20,13,70,150,70,10,10
20,14,70,20,20,10,10
20,15,20,150,70,10,10
20,16,20,70,150,10,10
20,17,20,150,150,10,10
20,18,150,20,150,10,10
20,19,150,150,70,10,10
20,20,20,150,150,10,10
20,21,70,150,70,10,10
20,22,70,150,150,10,10
20,23,70,20,70,10,10
21,0,150,150,70,10,10
21,1,70,150,20,10,10
21,2,150,70,150,10,10
21,3,70,150,150,10,10
21,4,150,20,70,10,10
21,5,70,70,70,10,10
21,6,70,70,70,10,10
21,7,70,20,20,10,10
21,8,20,20,20,10,10
21,9,70,70,70,10,10
21,10,150,20,150,10,10
21,11,70,150,150,10,10
21,12,20,70,150,10,10
21,13,150,70,70,10,10
21,14,20,70,150,10,10
21,15,20,20,150,10,10
21,16,20,70,70,10,10
21,17,150,20,70,10,10
21,18,70,20,20,10,10
21,19,150,20,70,10,10
21,20,70,150,150,10,10
21,21,70,150,20,10,10
21,22,70,150,70,10,10
21,23,150,150,70,10,10
22,0,20,20,70,10,10
22,1,150,150,20,10,10
22,2,20,70,20,10,10
22,3,20,70,150,10,10
22,4,20,70,20,10,10
22,5,70,150,20,10,10
22,6,20,70,150,10,10
22,7,70,150,150,10,10
22,8,150,20,70,10,10
22,9,20,150,150,10,10
22,10,150,150,20,10,10
22,11,70,20,150,10,10
22,12,70,20,20,10,10
22,13,150,20,70,10,10
22,14,150,150,70,10,10
22,15,20,20,70,10,10
22,16,20,20,70,10,10
22,17,150,70,150,10,10
22,18,20,20,70,10,10
22,19,20,150,20,10,10
22,20,150,70,70,10,10
22,21,70,20,150,10,10
22,22,70,70,150,10,10
22,23,70,150,20,10,10
23,0,20,150,70,10,10
23,1,70,150,20,10,10
23,2,70,70,70,10,10
23,3,70,20,20,10,10
23,4,150,150,70,10,10
23,5,150,150,20,10,10
23,6,150,20,70,10,10
23,7,150,150,150,10,10
23,8,150,70,20,10,10
23,9,70,20,70,10,10
23,10,70,70,70,10,10
23,11,70,150,150,10,10
23,12,150,20,70,10,10
23,13,150,20,20,10,10
23,14,150,20,70,10,10
23,15,70,150,70,10,10
23,16,150,150,20,10,10
23,17,20,70,150,10,10
23,18,20,70,20,10,10
23,19,70,70,70,10,10
23,20,150,20,20,10,10
23,21,20,150,70,10,10
23,22,70,20,150,10,10
23,23,70,150,70,10,10
24,0,20,20,70,10,10
24,1,20,70,70,10,10
24,2,150,70,70,10,10
24,3,20,70,150,10,10
24,4,20,70,150,10,10
24,5,150,70,150,10,10
24,6,150,20,20,10,10
24,7,70,150,70,10,10
24,8,150,70,70,10,10
24,9,70,150,20,10,10
24,10,20,20,150,10,10
24,11,150,70,20,10,10
24,12,70,150,20,10,10
24,13,150,20,150,10,10
24,14,150,150,150,10,10
24,15,70,70,20,10,10
24,16,70,150,20,10,10
24,17,20,70,70,10,10
24,18,150,20,70,10,10
24,19,20,70,20,10,10
24,20,70,70,70,10,10
24,21,150,70,70,10,10
24,22,150,70,70,10,10
24,23,20,70,150,10,10
25,0,150,70,20,10,10
25,1,150,20,150,10,10
25,2,20,70,70,10,10
25,3,70,150,150,10,10
25,4,20,20,20,10,10
25,5,20,70,70,10,10
25,6,70,20,150,10,10
25,7,70,70,20,10,10
25,8,70,150,70,10,10
25,9,20,70,20,10,10
25,10,70,150,70,10,10
25,11,20,150,70,10,10
25,12,20,150,70,10,10
25,13,70,20,20,10,10
25,14,70,70,70,10,10
25,15,150,150,20,10,10
25,16,150,20,20,10,10
25,17,20,150,70,10,10
25,18,150,150,150,10,10
25,19,150,150,150,10,10
25,20,20,150,70,10,10
25,21,150,20,150,10,10
25,22,150,20,150,10,10
25,23,20,70,70,10,10
26,0,150,20,70,10,10
26,1,150,20,150,10,10
26,2,20,150,20,10,10
26,3,150,150,20,10,10
26,4,20,70,150,10,10
26,5,70,150,20,10,10
26,6,150,150,70,10,10
26,7,20,150,150,10,10
26,8,70,150,70,10,10
26,9,20,150,150,10,10
26,10,70,70,70,10,10
26,11,20,20,150,10,10
26,12,150,70,70,10,10
26,13,20,70,20,10,10
26,14,70,70,150,10,10
26,15,20,150,20,10,10
26,16,20,20,20,10,10
26,17,70,70,150,10,10
26,18,150,20,70,10,10
26,19,150,150,20,10,10
26,20,70,150,20,10,10
26,21,150,70,70,10,10
26,22,70,70,150,10,10
26,23,20,150,20,10,10
27,0,70,150,20,10,10
27,1,150,150,70,10,10
27,2,150,20,20,10,10
27,3,70,70,70,10,10
27,4,150,70,70,10,10
27,5,150,20,150,10,10
27,6,150,70,20,10,10
27,7,70,150,20,10,10
27,8,70,70,150,10,10
27,9,150,150,20,10,10
27,10,70,20,20,10,10
27,11,20,150,20,10,10
27,12,20,20,150,10,10
27,13,150,150,20,10,10
27,14,150,150,70,10,10
27,15,70,150,70,10,10
27,16,70,20,70,10,10
27,17,70,70,150,10,10
27,18,70,150,20,10,10
27,19,70,150,20,10,10
27,20,70,150,20,10,10
27,21,20,150,150,10,10
27,22,70,20,150,10,10
27,23,150,70,150,10,10
28,0,20,150,70,10,10
28,1,150,70,70,10,10
28,2,150,70,150,10,10
28,3,150,70,150,10,10
28,4,70,20,20,10,10
28,5,150,150,20,10,10
28,6,20,20,70,10,10
28,7,20,70,150,10,10
28,8,70,20,150,10,10
28,9,20,20,20,10,10
28,10,70,150,20,10,10
28,11,70,70,20,10,10
28,12,20,20,20,10,10
28,13,20,150,20,10,10
28,14,150,70,20,10,10
28,15,70,70,20,10,10
28,16,20,20,20,10,10
28,17,150,70,20,10,10
28,18,150,70,70,10,10
28,19,20,70,20,10,10
28,20,20,70,150,10,10
28,21,70,70,20,10,10
28,22,20,20,20,10,10
28,23,20,20,70,10,10
29,0,150,20,70,10,10
29,1,70,150,70,10,10
29,2,20,150,150,10,10
29,3,150,20,70,10,10
29,4,20,20,20,10,10
29,5,150,70,70,10,10
29,6,20,70,20,10,10
29,7,150,150,70,10,10
29,8,150,70,150,10,10
29,9,150,20,20,10,10
29,10,150,20,70,10,10
29,11,20,150,70,10,10
29,12,70,150,150,10,10
29,13,150,20,150,10,10
29,14,150,20,20,10,10
29,15,20,70,20,10,10
29,16,150,70,150,10,10
29,17,70,20,70,10,10
29,18,20,20,20,10,10
29,19,20,20,70,10,10
29,20,20,20,70,10,10
29,21,20,20,150,10,10
29,22,150,20,20,10,10
29,23,70,70,20,10,10
30,0,20,70,150,10,10
30,1,150,70,20,10,10
30,2,20,20,150,10,10
30,3,20,150,70,10,10
30,4,20,150,20,10,10
30,5,150,70,20,10,10
30,6,70,20,150,10,10
30,7,70,70,70,10,10
30,8,150,70,20,10,10
30,9,150,150,70,10,10
30,10,150,70,20,10,10
30,11,20,20,20,10,10
30,12,70,150,150,10,10
30,13,150,20,150,10,10
30,14,20,70,20,10,10
30,15,150,150,20,10,10
30,16,20,20,70,10,10
30,17,70,150,70,10,10
30,18,70,70,150,10,10
30,19,70,20,150,10,10
30,20,20,70,70,10,10
30,21,150,20,150,10,10
30,22,150,20,150,10,10
30,23,70,150,20,10,10
31,0,70,150,20,10,10
31,1,20,150,20,10,10
31,2,20,150,70,10,10
31,3,20,70,150,10,10
31,4,20,20,20,10,10
31,5,20,70,150,10,10
31,6,70,70,150,10,10
31,7,20,150,150,10,10
31,8,150,20,70,10,10
31,9,150,70,150,10,10
31,10,150,20,20,10,10
31,11,150,150,150,10,10
31,12,70,70,20,10,10
31,13,20,70,150,10,10
31,14,150,70,20,10,10
31,15,150,20,20,10,10
31,16,150,70,150,10,10
31,17,150,150,20,10,10
31,18,20,70,70,10,10
31,19,70,20,70,10,10
31,20,70,20,70,10,10
31,21,70,150,150,10,10
31,22,70,20,20,10,10
31,23,20,20,70,10,10
32,0,20,150,70,10,10
32,1,70,20,70,10,10
32,2,20,70,70,10,10
32,3,150,150,20,10,10
32,4,150,70,20,10,10
32,5,70,150,70,10,10
32,6,70,20,150,10,10
32,7,20,70,20,10,10
32,8,20,20,70,10,10
32,9,150,150,150,10,10
32,10,20,20,70,10,10
32,11,70,150,70,10,10
32,12,20,70,70,10,10
32,13,150,20,20,10,10
32,14,70,150,150,10,10
32,15,20,20,70,10,10
32,16,150,150,20,10,10
32,17,70,70,70,10,10
32,18,70,150,150,10,10
32,19,150,20,150,10,10
32,20,70,20,20,10,10
32,21,70,150,20,10,10
32,22,150,20,70,10,10
32,23,150,70,70,10,10
33,0,70,150,70,10,10
33,1,150,70,150,10,10
33,2,70,70,150,10,10
33,3,150,20,70,10,10
33,4,150,20,70,10,10
33,5,150,20,20,10,10
33,6,150,20,150,10,10
33,7,70,70,70,10,10
33,8,70,150,150,10,10
33,9,150,70,70,10,10
33,10,150,70,20,10,10
33,11,150,20,70,10,10
33,12,150,150,70,10,10
33,13,20,150,150,10,10
33,14,150,20,20,10,10
33,15,70,70,20,10,10
33,16,20,70,20,10,10
33,17,70,70,150,10,10
33,18,150,20,70,10,10
33,19,20,70,150,10,10
33,20,70,150,150,10,10
33,21,70,150,20,10,10
33,22,70,20,70,10,10
33,23,150,150,70,10,10
34,0,70,20,150,10,10
34,1,70,20,70,10,10
34,2,70,20,20,10,10
34,3,150,150,150,10,10
34,4,70,70,150,10,10
34,5,70,70,150,10,10
34,6,70,150,20,10,10
34,7,20,20,70,10,10
34,8,70,70,20,10,10
34,9,20,70,20,10,10
34,10,20,150,150,10,10
34,11,150,20,150,10,10
34,12,70,150,70,10,10
34,13,150,150,20,10,10
34,14,150,150,20,10,10
34,15,150,70,150,10,10
34,16,20,70,20,10,10
34,17,150,70,20,10,10
34,18,70,20,150,10,10
34,19,20,150,70,10,10
34,20,150,150,70,10,10
34,21,70,150,70,10,10
34,22,70,20,20,10,10
34,23,20,70,20,10,10
35,0,150,150,20,10,10
35,1,70,150,70,10,10
35,2,20,150,150,10,10
35,3,70,70,150,10,10
35,4,20,20,20,10,10
35,5,20,70,70,10,10
35,6,150,150,150,10,10
35,7,70,150,70,10,10
35,8,70,150,150,10,10
35,9,150,150,20,10,10
35,10,20,150,20,10,10
35,11,70,20,20,10,10
35,12,20,20,150,10,10
35,13,20,150,20,10,10
35,14,20,20,20,10,10
35,15,70,20,150,10,10
35,16,20,20,20,10,10
35,17,70,20,150,10,10
35,18,70,70,70,10,10
35,19,20,20,70,10,10
35,20,20,70,150,10,10
35,21,150,150,70,10,10
35,22,150,20,70,10,10
35,23,70,20,150,10,10
36,0,150,150,150,10,10
36,1,150,70,20,10,10
36,2,150,20,20,10,10
36,3,150,20,20,10,10
36,4,70,20,20,10,10
36,5,70,150,70,10,10
36,6,20,150,20,10,10
36,7,70,20,150,10,10
36,8,20,20,150,10,10
36,9,70,70,20,10,10
36,10,150,20,150,10,10
36,11,70,150,150,10,10
36,12,70,150,20,10,10
36,13,150,150,150,10,10
36,14,70,70,20,10,10
36,15,20,20,20,10,10
36,16,20,20,70,10,10
36,17,20,70,20,10,10
36,18,20,20,70,10,10
36,19,150,150,20,10,10
36,20,150,70,20,10,10
36,21,20,150,20,10,10
36,22,70,150,20,10,10
36,23,150,70,70,10,10
37,0,150,20,70,10,10
37,1,150,150,70,10,10
37,2,20,70,20,10,10
37,3,70,70,150,10,10
37,4,20,70,150,10,10
37,5,150,150,70,10,10
37,6,150,150,150,10,10
37,7,70,150,70,10,10
37,8,20,20,150,10,10
37,9,20,150,70,10,10
37,10,70,20,70,10,10
37,11,70,20,70,10,10
37,12,20,150,20,10,10
37,13,150,20,150,10,10
37,14,70,20,150,10,10
37,15,70,20,70,10,10
37,16,20,20,150,10,10
37,17,20,20,150,10,10
37,18,70,70,70,10,10
37,19,20,20,150,10,10
37,20,20,150,70,10,10
37,21,150,150,150,10,10
37,22,70,20,150,10,10
37,23,150,20,20,10,10
38,0,150,20,70,10,10
38,1,150,20,20,10,10
38,2,70,150,150,10,10
38,3,70,150,70,10,10
38,4,70,70,70,10,10
38,5,150,70,20,10,10
38,6,20,70,20,10,10
38,7,70,70,20,10,10
38,8,70,150,150,10,10
38,9,150,150,20,10,10
38,10,70,150,150,10,10
38,11,70,150,150,10,10
38,12,70,70,150,10,10
38,13,150,70,70,10,10
38,14,150,20,20,10,10
38,15,70,70,150,10,10
38,16,20,20,70,10,10
38,17,150,20,20,10,10
38,18,20,150,70,10,10
38,19,70,150,70,10,10
38,20,70,150,70,10,10
38,21,20,70,150,10,10
38,22,150,20,70,10,10
38,23,150,70,150,10,10
39,0,70,70,20,10,10
39,1,20,70,150,10,10
39,2,150,70,20,10,10
39,3,70,150,150,10,10
39,4,70,70,150,10,10
39,5,70,150,20,10,10
39,6,150,150,20,10,10
39,7,20,20,20,10,10
39,8,70,70,150,10,10
39,9,20,70,150,10,10
39,10,150,20,150,10,10
39,11,70,150,20,10,10
39,12,70,70,20,10,10
39,13,20,70,20,10,10
39,14,20,20,20,10,10
39,15,70,20,20,10,10
39,16,70,150,20,10,10
39,17,70,20,150,10,10
39,18,70,70,70,10,10
39,19,70,20,70,10,10
39,20,70,20,150,10,10
39,21,70,70,20,10,10
39,22,20,150,20,10,10
39,23,150,20,20,10,10
40,0,70,70,150,10,10
40,1,150,70,20,10,10
40,2,150,70,20,10,10
40,3,70,150,70,10,10
40,4,70,70,150,10,10
40,5,20,70,150,10,10
40,6,20,70,20,10,10
40,7,20,20,20,10,10
40,8,20,70,20,10,10
40,9,70,150,70,10,10
40,10,70,70,70,10,10
40,11,150,150,70,10,10
40,12,70,150,70,10,10
40,13,150,150,70,10,10
40,14,70,20,150,10,10
40,15,70,20,70,10,10
40,16,150,150,150,10,10
40,17,150,20,70,10,10
40,18,150,20,20,10,10
40,19,70,70,20,10,10
40,20,150,70,150,10,10
40,21,150,150,70,10,10
40,22,70,20,150,10,10
40,23,150,20,70,10,10
41,0,150,70,70,10,10
41,1,20,150,70,10,10
41,2,70,150,150,10,10
41,3,70,70,150,10,10
41,4,150,70,70,10,10
41,5,150,70,70,10,10
41,6,150,20,150,10,10
41,7,70,70,70,10,10
41,8,70,150,70,10,10
41,9,20,20,20,10,10
41,10,150,150,150,10,10
41,11,150,20,150,10,10
41,12,150,20,70,10,10
41,13,150,70,70,10,10
41,14,70,20,70,10,10
41,15,70,20,20,10,10
41,16,20,20,150,10,10
41,17,20,20,20,10,10
41,18,150,150,70,10,10
41,19,70,20,150,10,10
41,20,20,70,70,10,10
41,21,150,150,150,10,10
41,22,70,70,150,10,10
41,23,70,70,20,10,10
42,0,150,20,150,10,10
42,1,20,70,20,10,10
42,2,70,20,20,10,10
42,3,20,70,150,10,10
42,4,20,150,20,10,10
42,5,20,70,20,10,10
42,6,20,150,70,10,10
42,7,20,20,70,10,10
42,8,20,70,150,10,10
