hour,generation 1,generation 2,generation 3,wind generation 1,wind generation 2,load 1,load 2,load 3,epsilon 1,delta 1,epsilon 2,delta 2,epsilon 3,delta 3,epsilon 4,delta 4,epsilon 5,delta 5,epsilon 6,delta 6,transmission_up_binding_L1,transmission_down_binding_L1,transmission_up_binding_L2,transmission_down_binding_L2,transmission_up_binding_L3,transmission_down_binding_L3,transmission_up_binding_L4,transmission_down_binding_L4,transmission_up_binding_L5,transmission_down_binding_L5,transmission_up_binding_L6,transmission_down_binding_L6,transmission_up_binding_L7,transmission_down_binding_L7
19,100.0,0.0,14.036482507998418,0.0,22.336855567935473,8.52333362974586,68.18666903796688,59.663335408221016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
20,100.0,0.0,18.98416432513634,0.0,28.69816076139852,9.23014531790842,73.84116254326736,64.61101722535894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
21,100.0,0.0,22.68677380570393,0.0,33.45865866498526,9.759089529418073,78.07271623534459,68.31362670592651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
22,100.0,0.0,10.0,0.0,3.49451391746247,7.093407119841405,56.74725695873124,49.653849838889826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,100.0,0.0,0.0,0.0,0.6097985607984828,6.288112410049905,50.30489928039924,44.01678687034933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,100.0,0.0,11.677384620956898,0.0,19.30372971316777,8.186319645882783,65.49055716706226,57.30423752117949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,100.0,0.0,13.993270193398365,0.0,22.281296877735194,8.517160441945848,68.13728353556678,59.62012309362094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2,100.0,0.0,10.0,0.0,9.407148977619272,7.4629468111012045,59.703574488809636,52.24062767770843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,100.0,0.0,10.0,0.0,3.313003288593265,7.074757490946522,56.59805992757217,49.523302436625656,0.0,0.0,0.0,0.0,0.0,0.0,0.11688343344890506,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False
4,100.0,0.0,17.811709483238285,0.0,27.19071882181535,9.062651769065843,72.50121415252674,63.438562383460884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5,100.0,0.0,21.25025341562547,2.950086885235372,28.661616992506314,9.55387233083544,76.43097864668351,66.87710631584807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
6,104.72097230883769,0.0,31.49598090424117,10.015952442138147,30.047857326414437,11.017547686351962,88.1403814908157,77.12283380446375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
7,114.5617816695874,0.0,36.086656302591535,6.941901204676793,29.183396143862172,11.67335845754487,93.38686766035896,81.7135092028141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
8,130.70350981009932,0.0,42.70545577719824,0.0,25.2378024792631,12.61890123963155,100.9512099170524,88.33230867742084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.255651767544127,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
9,123.64188188105508,0.0,33.62277548468465,0.0,22.64275096711637,11.321375483558185,90.57100386846548,79.24962838490731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2345994040748445,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
10,138.14538121114265,0.0,52.27720600148751,0.0,27.972588257631458,13.986294128815729,111.89035303052583,97.9040589017101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.385530590790037,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
11,100.0,0.0,10.996355523468333,0.0,18.428120873539484,8.089029774812989,64.71223819850391,56.62320842369092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12,108.70532216180399,0.0,30.502334139617034,8.700478518838814,26.101435556516442,10.875598148548518,87.00478518838814,76.12918703983962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13,133.91840597436368,0.0,46.84046180230246,0.0,26.41923277215,13.209616386075,105.6769310886,92.467314702525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.175761628383869,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
14,120.34662482225995,0.0,29.384409112595293,0.0,21.43178914651938,10.71589457325969,85.72715658607753,75.01126201281784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29149009077877885,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
15,100.0,0.0,11.367892608232927,2.6215984086780932,16.28421300241586,8.14210650120793,65.13685200966344,56.994745508455516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
16,130.3933498188425,0.0,46.54029800817926,0.0,32.91683961014351,13.166735844057404,105.33388675245924,92.16715090840184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8172860677532114,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
17,100.0,0.0,21.914269352055772,6.150715697718933,26.314722955433126,9.648731750325481,77.18985400260385,67.54112225227837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
18,100.0,0.0,18.638865675699957,0.7117545367276762,27.542450818252526,9.18081693941751,73.44653551534007,64.26571857592256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19,100.0,0.0,10.0,0.0,2.911172420269466,7.032101364380796,56.256810915046366,49.224709550665565,0.0,0.0,0.0,0.0,0.0,0.0,0.3975505901767618,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False
20,100.0,0.0,0.0,0.0,0.0,5.821814040451533,46.57451232361226,40.752698283160726,6.850975352775481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,100.0,0.0,12.076148104189125,0.0,19.816425620180638,8.243285857773103,65.94628686218482,57.70300100441172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
22,100.0,0.0,0.0,0.0,0.0,6.242479402293643,49.939835218349145,43.697355816055506,0.0,0.0,0.12032956330155974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,100.0,0.0,0.0,0.0,9.72279906132716,6.915647421555084,55.32517937244067,48.40953195088559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.927559683554333,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,100.0,0.0,0.0,0.0,0.0,5.971889299928419,47.77511439942735,41.803225099498924,0.0,0.0,4.449771201145294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,100.0,0.0,0.0,0.0,0.0,5.747651001335879,45.981208010687034,40.233557009351145,8.037583978625808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,100.0,0.0,15.486427993774148,0.0,24.201071192504124,8.730468699142392,69.84374959313914,61.11328089399673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3,100.0,0.0,28.111770156361068,0.0,40.43365397297313,10.534089008083383,84.27271206466706,73.73862305658366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4,100.0,0.0,13.345869629315207,0.0,21.448924723914043,8.424674647076827,67.39739717661462,58.972722529537776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5,100.0,0.0,29.890518227103367,10.356028152216227,32.36458762599684,10.78819587533228,86.30556700265824,75.51737112732596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
6,100.0,0.0,15.036508809784335,0.0,23.622603670231484,8.666194530000991,69.32955624000793,60.663361710006924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
7,104.29425247119711,0.0,26.8446406874518,8.627558760437427,25.882676281312293,10.353070512524916,82.82456410019932,72.4714935876744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
8,108.2653129143675,0.0,23.38755844044905,6.375951326526732,19.7184032401919,9.859201620095948,78.87361296076759,69.01441134067164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
9,118.81381801648506,0.0,27.856541132024407,0.2964289159845213,20.995255437784863,10.49762771889243,83.98102175113944,73.483394032247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
10,112.3383091953149,0.0,25.11312521092451,4.02852181605475,20.211422317470603,10.1057111587353,80.8456892698824,70.7399781111471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
11,100.0,0.0,10.0,0.0,14.057169180501248,7.753573073781329,62.02858459025063,54.27501151646929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,100.0,0.0,14.361963121439482,2.1877365777896918,20.567594064569857,8.56983086023744,68.55864688189952,59.98881602166207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13,100.0,0.0,13.878208285554543,5.1319140859998775,17.00144605307918,8.50072302653959,68.00578421231673,59.50506118577713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
14,128.1703510360589,0.0,39.44730177843636,0.0,24.306901336759697,12.153450668379847,97.22760534703878,85.07415467865893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5306565428226064,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
15,118.98268456525327,0.0,27.928083182421656,0.19910441761357392,21.01569602361264,10.50784801180632,84.06278409445056,73.55493608264423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
16,106.6416656413021,0.0,29.74438636816976,8.97276657957052,26.91829973871156,10.767319895484622,86.13855916387698,75.37123926839236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
17,101.34206163231835,0.0,27.08621612302103,9.443255717304366,28.329767151913096,10.387581289034804,83.10065031227843,72.7130690232436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
18,100.0,0.0,25.811565635951546,6.859783074086113,30.616465086931772,10.20548836231059,81.64390689848472,71.43841853617413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19,100.0,0.0,12.623508331621348,0.0,20.520174484022036,8.321480175977715,66.57184140782172,58.250361231843996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
20,100.0,0.0,10.617752745461946,0.0,17.94134587324572,8.034943663669221,64.27954930935377,56.24460564568454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
21,100.0,0.0,20.964110283918046,0.0,31.24380556554628,9.51299474059152,76.10395792473216,66.59096318414063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
22,100.0,0.0,0.0,0.0,0.6048814205049571,6.287805088781561,50.30244071025249,44.014635621470916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,100.0,0.0,13.503198198143659,0.0,21.651204312407966,8.447150156909467,67.57720125527574,59.13005109836626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,100.0,0.0,21.15041077509514,0.0,31.483334768488387,9.53960909647398,76.31687277179184,66.77726367531784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,100.0,0.0,0.0,0.0,8.574235130010706,6.831606158288038,54.6528492663043,47.821243108016255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7314634025978861,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2,100.0,0.0,10.0,0.0,8.573162030047285,7.410822626877955,59.28658101502364,51.87575838814568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,100.0,0.0,16.319745340273055,0.0,25.272479209431417,8.849514034356522,70.79611227485218,61.94659824049564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4,100.0,0.0,22.724519476308547,0.9589162526527237,32.54827256025292,9.764481768075877,78.11585414460701,68.35137237653115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5,100.0,0.0,30.233299614621277,10.649840770088758,32.51149393493308,10.837164644977694,86.69731715982155,75.86015251484386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
6,100.0,10.0,36.71835712132167,9.416716426021994,32.08254935904321,11.76360143164918,94.10881145319344,82.34521002154426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
7,100.0,16.589840286487743,37.066106046839025,5.823331636006344,29.533199623950573,11.81327984958023,94.50623879664184,82.69295894706161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
8,100.0,25.42915896038674,35.92157492141801,0.0,23.299550806183035,11.649775403091517,93.19820322473214,81.54842782164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7461217614764657,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
9,100.0,27.27924928792267,38.301164886525974,0.0,23.979433653356747,11.989716826678373,95.91773461342699,83.92801778674861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27562139904858,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
10,100.0,33.49391366511039,46.29447892550412,0.0,26.263237664493346,13.131618832246673,105.05295065797338,91.92133182572671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.054271060838912,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
11,100.0,22.925281588805234,37.79102089186742,1.3527094582450598,28.600413871573714,11.916839113155715,95.33471290524572,83.41787379209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
12,100.0,10.0,20.394105066499073,0.0,20.51094171457913,9.43156542381738,75.45252339053904,66.02095796672165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13,100.0,39.391743077773775,53.88027918477303,0.0,28.430609167141604,14.215304583570802,113.72243666856642,99.50713208499562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.742241907444435,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
14,100.0,22.02491208547887,31.543025624816867,0.0,22.048536721439834,11.024268360719917,88.19414688575934,77.16987852503942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7718193397830889,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
15,100.0,34.5670718772034,47.67477721389687,0.0,26.65760860403413,13.328804302017065,106.63043441613652,93.30163011411946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.361411137138651,0.0,0.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
16,100.0,10.0,33.45170308417374,9.056940600019335,28.24234142299868,11.296936569199474,90.37549255359579,79.07855598439632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
17,106.93067698292332,0.0,34.37983276703082,10.390478658084861,31.171435974254578,11.429526523893347,91.43621219114678,80.00668566725342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
18,100.131053195427,0.0,30.67902751306361,10.900840059040886,32.70252017712266,10.900840059040886,87.20672047232709,76.30588041328619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19,100.0,0.0,14.062909420806916,0.0,22.370833027260666,8.527108903004217,68.21687122403374,59.68976232102952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
20,100.0,0.0,0.0,0.0,6.9350600065539725,6.711666515108278,53.69333212086622,46.98166560575794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4516042351784497,False,False,False,False,True,False,False,False,False,False,False,False,False,False
21,100.0,0.0,10.256011704668907,0.0,17.476250249369002,7.98326637212738,63.86613097701904,55.88286460489165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
22,100.0,0.0,18.143301859938887,0.0,27.617051877573193,9.110022108594498,72.88017686875598,63.770154760161475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
23,100.0,0.0,14.734454517295298,0.0,23.23424815131721,8.623043916788271,68.98435133430617,60.361307417517885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,100.0,0.0,25.06676682494761,0.0,36.51864968972725,10.099088532167169,80.79270825733735,70.6936197251702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,100.0,0.0,27.639029639969504,0.0,39.82584473761257,10.466554648598873,83.73243718879098,73.26588254019211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2,100.0,0.0,13.89132046072308,0.0,22.15021865001001,8.50259619442081,68.02076955536648,59.518173360945674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3,100.0,0.0,13.50475176949862,0.0,21.65320176129284,8.447372095674472,67.57897676539578,59.13160466972131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False
