Sample_Nr,Hour,L1,L2,L3,W1,W2
8,6,52.02,132.43,134.66,2.58,10.03
8,7,50.21,98.45,125.95,2.96,3.16
8,8,53.59,111.96,110.28,8.28,9.2
8,9,54.1,118.47,130.15,6.79,26.49
8,10,42.56,125.99,130.45,2.29,26.56
8,11,47.95,118.71,112.54,0.29,26.56
8,12,52.87,98.69,121.56,5.2,4.5
8,13,53.38,114.66,148.84,8.75,9.7
8,14,53.64,100.96,127.48,6.74,2.32
8,15,50.58,116.2,97.55,5.97,3.74
8,16,51.8,105.49,116.18,0.43,26.56
8,17,56.35,109.57,125.31,2.94,12.07
8,18,45.14,107.98,115.99,5.54,26.0
8,19,52.09,118.38,123.26,2.55,17.4
8,20,51.92,105.95,122.55,1.61,19.13
8,21,57.34,104.0,105.91,1.1,1.07
8,22,63.01,107.9,114.62,8.85,16.42
8,23,60.72,124.13,103.29,8.85,26.56
9,0,51.23,100.55,114.2,9.17,27.51
9,1,54.44,114.65,136.22,1.59,6.38
9,2,52.51,110.24,122.48,8.21,27.51
9,3,40.85,110.77,120.64,2.31,27.51
9,4,62.13,113.11,134.83,6.54,12.74
9,5,54.24,104.65,138.43,3.18,19.85
9,6,63.77,102.0,117.73,1.85,10.25
9,7,65.64,123.13,121.84,0.71,11.12
9,8,47.36,110.15,132.95,0.66,11.03
9,9,62.79,105.75,116.89,2.91,3.26
9,10,56.0,120.91,118.11,1.4,3.9
9,11,52.37,114.69,125.21,6.17,0.36
9,12,62.63,107.26,124.03,3.46,12.49
9,13,58.01,126.69,115.5,0.56,11.91
9,14,59.64,113.82,133.21,7.78,0.63
9,15,52.13,87.94,130.58,3.09,27.51
9,16,62.59,119.75,115.64,0.44,7.96
9,17,48.3,116.78,123.87,5.84,21.44
9,18,59.04,114.26,115.02,0.91,0.31
9,19,66.42,107.64,114.55,1.43,13.01
9,20,60.8,102.13,131.89,5.47,20.44
9,21,50.56,115.81,132.92,4.28,0.91
9,22,54.02,121.51,96.16,0.39,1.84
9,23,59.45,108.8,140.9,3.93,5.29
10,0,59.81,130.71,114.96,0.77,1.52
10,1,57.66,107.87,133.8,8.16,24.49
10,2,57.61,99.43,124.38,0.66,4.8
10,3,57.26,88.81,117.02,1.77,16.64
10,4,57.03,106.8,110.18,0.22,3.33
10,5,60.16,118.07,113.27,3.87,24.49
10,6,63.37,87.69,118.04,0.95,16.38
10,7,65.02,101.65,150.97,3.82,3.21
10,8,55.3,95.28,123.32,1.26,2.54
10,9,52.29,112.88,130.35,7.63,1.43
10,10,45.88,96.32,138.37,3.08,4.24
10,11,49.51,114.59,96.24,3.22,11.09
10,12,58.88,138.5,108.83,3.54,2.75
10,13,50.95,96.98,118.59,0.6,3.33
10,14,57.71,100.9,111.15,1.92,5.04
10,15,52.71,104.25,124.34,8.16,0.64
10,16,59.06,92.74,114.35,2.11,8.54
10,17,54.15,104.22,116.57,3.53,1.74
10,18,61.23,98.6,139.74,1.0,9.05
10,19,48.65,114.84,120.03,6.48,18.63
10,20,59.36,129.85,119.0,1.94,18.7
10,21,52.22,105.67,105.76,8.16,22.63
10,22,51.9,127.53,129.5,0.77,6.31
10,23,59.13,106.36,106.01,2.19,9.9
11,0,61.44,119.35,109.81,0.22,2.96
11,1,66.98,107.88,143.13,1.94,2.51
11,2,62.06,106.17,128.13,1.94,15.78
11,3,64.11,118.18,129.54,2.57,14.79
11,4,57.9,104.7,119.91,3.5,3.84
11,5,66.35,99.21,114.21,0.94,1.19
11,6,52.16,126.04,118.39,1.1,17.52
11,7,62.06,122.51,111.03,9.06,1.5
11,8,47.94,109.5,140.39,9.2,3.51
11,9,56.01,115.31,126.46,3.07,20.11
11,10,56.71,101.75,99.57,0.7,5.52
11,11,51.25,112.17,116.54,3.7,8.82
11,12,56.29,101.07,137.68,5.06,1.92
11,13,44.67,82.79,116.43,1.39,24.19
11,14,54.54,107.81,119.41,8.89,13.39
11,15,65.87,113.19,100.84,5.12,1.9
11,16,53.38,114.09,111.43,2.69,9.89
11,17,53.92,122.44,125.85,9.2,11.51
11,18,62.63,120.62,122.54,5.11,3.95
11,19,48.7,99.1,124.52,0.25,27.59
11,20,59.84,123.38,134.07,3.18,8.51
11,21,46.1,101.52,114.8,1.38,5.9
11,22,59.06,118.76,99.27,9.19,17.21
11,23,50.86,110.57,119.44,1.37,9.56
12,0,61.1,121.57,126.29,0.7,27.21
12,1,62.57,107.28,115.34,2.01,0.54
12,2,58.55,127.8,111.3,0.75,27.21
12,3,49.52,124.19,120.52,0.33,8.74
12,4,56.58,113.34,129.75,0.78,0.4
12,5,53.3,108.54,119.16,1.22,18.27
12,6,58.55,105.28,138.12,9.07,1.61
12,7,52.85,126.26,114.66,1.66,4.86
12,8,49.53,112.79,103.6,5.72,9.3
12,9,56.95,140.19,123.94,4.24,5.79
12,10,58.98,100.45,134.06,1.18,4.75
12,11,56.16,116.59,98.8,4.31,24.32
12,12,54.62,107.39,108.83,6.46,1.72
12,13,60.05,110.32,119.58,9.07,0.48
12,14,62.93,117.7,127.44,0.75,5.17
12,15,52.44,106.46,97.55,9.07,12.5
12,16,58.4,99.75,142.01,7.39,1.99
12,17,61.89,96.54,118.22,2.51,6.67
12,18,63.84,100.06,108.46,9.07,12.85
12,19,50.41,114.13,104.01,5.1,27.21
12,20,48.68,116.49,111.9,2.3,3.84
12,21,61.23,113.5,107.82,4.46,3.65
12,22,59.05,111.76,123.17,4.02,6.06
12,23,54.84,125.98,130.8,2.73,16.75
13,0,60.05,121.46,110.24,6.43,15.86
13,1,52.5,119.15,128.47,9.11,27.33
13,2,40.35,112.82,115.8,9.11,10.71
13,3,53.0,120.75,119.81,4.75,18.33
13,4,61.21,127.89,118.23,1.36,4.66
13,5,62.43,106.31,118.2,9.11,11.52
13,6,64.97,123.29,102.47,1.37,3.68
13,7,55.31,120.17,107.45,2.03,0.71
13,8,56.87,130.12,133.89,4.47,10.23
13,9,53.55,114.08,107.57,9.11,2.16
13,10,45.85,92.47,121.51,9.11,22.65
13,11,50.11,115.41,115.27,9.11,0.95
13,12,63.24,120.51,125.2,8.3,12.04
13,13,54.79,103.17,107.8,6.62,18.65
13,14,54.83,121.42,123.12,9.11,21.48
13,15,58.11,101.47,106.83,1.98,17.05
13,16,54.96,120.15,115.08,6.44,1.06
13,17,55.24,117.11,131.5,4.11,4.68
13,18,46.89,105.62,126.21,3.67,20.54
13,19,51.08,133.46,100.3,1.55,27.33
13,20,48.28,114.1,135.67,1.2,17.15
13,21,52.38,109.23,100.16,9.11,1.47
13,22,56.37,114.47,115.91,7.12,27.33
13,23,67.77,98.06,128.89,4.16,4.22
14,0,41.15,120.61,134.09,1.82,24.76
14,1,63.38,101.8,128.42,6.72,9.56
14,2,61.39,93.89,136.8,8.25,0.26
14,3,48.91,115.29,110.39,4.39,12.49
14,4,49.16,113.36,121.51,1.81,0.22
14,5,46.07,122.48,118.92,4.52,22.45
14,6,59.97,133.7,102.86,7.48,7.12
14,7,75.07,111.53,114.11,3.73,1.33
14,8,54.69,124.2,111.97,2.39,3.88
14,9,61.16,129.18,109.45,2.01,24.76
14,10,47.59,101.43,130.27,3.42,9.65
14,11,56.79,114.23,126.61,1.88,14.96
14,12,51.66,121.35,131.67,4.32,5.91
14,13,53.75,112.79,96.81,8.25,24.76
14,14,55.92,105.87,123.71,1.6,5.98
14,15,49.65,111.21,110.5,2.61,24.76
14,16,60.82,103.45,133.36,8.25,15.56
14,17,54.2,109.61,128.72,4.42,4.09
14,18,61.07,121.7,122.52,8.25,17.14
14,19,57.5,126.66,119.69,3.68,1.03
14,20,58.24,108.4,130.58,8.25,15.5
14,21,47.99,129.52,126.11,1.65,22.32
14,22,57.43,123.29,105.95,8.25,24.76
14,23,51.71,123.73,107.76,1.06,3.63
15,0,60.39,117.22,116.94,3.22,4.07
15,1,47.94,117.21,114.33,9.07,17.88
15,2,56.64,90.13,125.28,9.07,5.34
15,3,52.67,108.97,122.81,1.15,12.92
15,4,63.95,113.87,135.61,1.56,6.39
15,5,54.26,118.72,110.04,9.07,17.02
15,6,60.09,86.95,123.61,0.67,1.33
15,7,60.49,134.3,133.6,2.57,22.05
15,8,65.78,118.7,99.11,1.81,27.2
15,9,62.06,126.32,114.9,9.07,17.82
15,10,63.72,115.6,131.54,9.07,5.86
15,11,53.04,106.71,138.97,9.07,4.86
15,12,52.45,97.86,107.4,0.08,18.94
15,13,68.35,110.5,131.61,1.12,21.35
15,14,64.09,105.8,119.25,2.34,3.63
15,15,55.0,114.65,124.73,1.67,4.17
15,16,52.56,107.99,112.32,4.17,27.2
15,17,52.73,110.65,131.92,0.78,4.2
15,18,52.62,127.29,112.81,1.15,14.92
15,19,50.39,106.98,138.69,3.77,2.04
15,20,51.28,126.5,116.87,3.65,2.8
15,21,57.08,105.28,135.39,3.49,0.55
15,22,62.11,109.47,120.8,6.12,6.86
15,23,48.32,107.2,114.17,4.28,18.8
16,0,54.53,132.02,118.62,3.06,0.72
16,1,66.09,111.64,113.0,0.47,4.16
16,2,56.86,96.4,108.18,8.39,2.7
16,3,59.76,104.96,119.99,5.25,20.36
16,4,52.57,113.71,116.3,9.05,21.42
16,5,49.25,123.14,115.97,0.88,20.1
16,6,66.82,100.96,125.6,4.0,15.66
16,7,54.81,104.18,126.35,3.55,15.26
16,8,67.89,93.94,141.96,2.65,5.08
16,9,56.24,101.07,122.7,4.03,7.22
16,10,53.35,102.42,107.68,4.73,1.3
16,11,53.19,118.49,102.65,1.15,5.27
16,12,47.51,104.6,107.26,3.63,27.14
16,13,66.12,123.34,116.91,2.11,16.8
16,14,58.1,108.18,114.18,4.83,4.42
16,15,48.8,100.77,114.17,1.78,16.49
16,16,54.58,110.05,107.32,0.31,11.65
16,17,61.63,120.78,100.7,9.05,1.45
16,18,68.39,100.9,99.3,4.3,27.14
16,19,54.18,99.91,140.55,4.85,15.95
16,20,54.64,107.23,127.68,9.05,20.03
16,21,57.2,101.19,120.84,5.49,16.37
16,22,55.06,131.7,124.98,1.66,22.23
16,23,50.82,107.72,122.35,5.94,27.14
17,0,60.57,85.76,131.83,2.37,4.62
17,1,61.85,115.3,131.61,5.22,22.69
17,2,51.47,125.29,121.25,4.87,17.51
17,3,58.65,125.91,134.94,0.49,2.03
17,4,57.07,105.8,83.94,9.01,11.13
17,5,49.46,130.67,120.52,2.14,5.98
17,6,52.07,108.21,120.55,0.49,23.51
17,7,57.55,114.95,124.19,0.3,25.26
17,8,58.9,103.88,117.05,0.98,0.2
17,9,56.12,118.17,111.15,1.04,25.86
17,10,52.25,103.95,103.71,0.08,10.3
17,11,55.56,114.11,121.61,1.41,1.45
17,12,60.13,109.89,116.73,5.78,7.35
17,13,57.46,113.99,159.7,2.19,3.03
17,14,54.53,105.6,138.41,1.75,7.86
17,15,57.81,123.17,111.65,3.8,27.02
17,16,49.49,106.82,134.59,0.38,11.26
17,17,50.93,110.98,118.84,3.42,6.14
17,18,61.73,118.1,108.58,9.01,2.67
17,19,50.2,95.47,114.59,2.3,2.12
17,20,57.13,147.18,110.39,3.62,9.35
17,21,62.56,115.5,93.22,9.01,22.02
17,22,53.85,85.23,136.33,0.57,15.56
17,23,58.71,128.54,117.22,9.01,21.53
18,0,53.95,115.97,129.24,5.03,6.66
18,1,64.52,131.32,121.43,2.06,26.6
18,2,64.64,101.44,117.74,3.49,26.6
18,3,60.67,105.21,113.33,4.72,12.97
18,4,56.2,120.39,122.72,2.47,4.68
18,5,55.12,99.87,116.81,4.82,1.98
18,6,54.12,120.12,105.04,0.4,5.95
18,7,61.0,108.88,120.27,0.54,14.74
18,8,50.03,108.83,149.41,1.29,1.72
18,9,44.69,109.86,110.97,2.54,7.12
18,10,56.04,110.56,113.54,5.94,4.62
18,11,49.95,90.85,92.21,1.94,21.08
18,12,57.13,112.45,110.59,5.81,3.77
18,13,55.96,85.81,120.81,4.01,9.13
18,14,49.84,115.14,121.34,4.68,26.6
18,15,57.32,127.42,129.37,8.87,8.92
18,16,55.54,120.98,106.78,8.87,16.0
18,17,54.01,95.41,124.86,8.24,9.77
18,18,70.78,104.06,114.01,3.92,0.9
18,19,55.28,101.59,130.0,2.62,18.27
18,20,72.8,111.73,85.8,5.34,15.01
18,21,57.13,133.73,112.59,8.87,3.83
18,22,55.18,113.96,128.61,6.27,4.59
18,23,59.69,100.61,133.84,3.99,0.81
19,0,45.81,115.38,129.36,8.91,8.43
19,1,52.04,120.8,121.14,8.91,9.7
19,2,47.85,118.7,123.1,2.74,15.51
19,3,53.05,112.72,102.62,8.91,26.74
19,4,53.78,103.29,115.05,6.17,9.13
19,5,58.13,108.22,110.19,4.57,1.43
19,6,55.47,122.44,110.53,1.17,11.48
19,7,52.35,111.06,119.43,0.91,19.81
19,8,57.23,114.76,104.74,0.16,9.56
19,9,65.4,114.67,151.53,7.28,26.74
19,10,46.19,115.13,124.45,4.52,8.95
19,11,63.35,119.65,118.93,1.12,9.95
19,12,49.59,107.81,111.71,8.91,15.25
19,13,49.86,117.06,141.49,0.88,12.4
19,14,60.99,93.99,97.85,3.11,3.04
19,15,65.5,125.31,106.74,2.72,6.57
19,16,54.44,112.7,119.49,1.72,23.37
19,17,50.03,111.5,124.58,7.72,4.58
19,18,51.32,112.32,106.81,0.48,19.79
19,19,62.79,118.63,138.22,4.03,15.19
19,20,52.49,122.5,116.98,3.79,14.34
19,21,59.18,92.42,109.19,5.16,23.05
19,22,50.83,106.64,120.61,0.05,22.84
19,23,50.3,107.27,126.04,2.74,26.74
20,0,63.3,116.1,107.17,3.29,5.58
20,1,46.9,111.1,120.4,8.26,15.88
20,2,57.79,113.71,138.9,2.94,24.76
20,3,53.03,124.45,133.25,1.16,17.04
20,4,57.7,124.15,102.68,8.26,20.89
20,5,55.67,122.1,120.25,3.26,24.79
20,6,61.28,125.81,104.72,5.77,4.76
20,7,61.49,130.11,146.35,0.05,2.72
20,8,44.65,106.78,122.2,4.42,3.24
20,9,51.69,120.13,129.56,2.14,6.66
20,10,62.96,97.25,111.02,8.26,11.08
20,11,60.42,120.77,108.51,0.22,6.47
20,12,61.78,109.8,119.49,2.79,6.17
20,13,51.87,97.7,125.92,8.26,16.17
20,14,53.13,125.32,119.98,4.51,0.1
20,15,51.62,102.51,109.9,1.38,7.53
20,16,65.24,129.71,117.96,4.03,15.59
20,17,53.45,115.42,141.17,0.19,8.69
20,18,65.28,119.0,118.03,8.26,1.37
20,19,58.86,133.35,113.21,8.26,4.92
20,20,49.52,107.96,127.55,5.76,5.29
20,21,53.84,109.21,126.07,1.98,5.78
20,22,67.39,112.52,121.88,4.66,17.94
20,23,45.27,126.03,134.23,2.15,4.07
21,0,51.66,105.99,99.3,2.24,0.23
21,1,58.19,103.68,147.05,4.59,25.13
21,2,59.69,126.58,129.41,4.75,4.27
21,3,54.67,101.11,105.3,0.44,8.79
21,4,52.82,126.34,123.05,0.11,24.26
21,5,62.78,120.43,135.9,8.8,12.89
21,6,63.64,98.04,112.62,0.42,2.2
21,7,53.45,104.98,115.3,3.53,8.07
21,8,61.6,123.31,112.0,1.94,2.87
21,9,48.79,127.52,146.41,7.08,26.41
21,10,58.76,114.72,116.35,8.8,4.11
21,11,62.35,107.67,117.84,6.85,26.41
21,12,58.89,102.91,131.53,2.43,15.13
21,13,54.98,111.23,112.27,0.37,5.24
21,14,57.78,102.77,116.06,1.67,18.43
21,15,52.94,114.45,128.06,8.8,10.52
21,16,59.52,142.82,137.52,8.8,7.89
21,17,49.45,117.88,123.26,3.51,16.76
21,18,56.38,111.67,111.32,4.7,5.59
21,19,60.66,111.02,117.85,8.8,13.31
21,20,51.49,112.2,117.58,4.15,0.16
21,21,62.19,98.96,110.79,0.25,26.41
21,22,54.13,113.53,123.19,6.9,14.1
21,23,59.53,118.57,119.97,7.01,4.26
22,0,48.5,129.67,115.49,8.69,26.06
22,1,56.2,115.56,122.42,4.34,4.95
22,2,54.74,121.24,109.49,8.28,19.98
22,3,56.87,95.71,136.92,1.19,20.66
22,4,43.89,99.86,118.8,1.63,15.9
22,5,54.5,104.2,116.6,7.95,26.06
22,6,51.45,119.67,130.18,1.07,1.56
22,7,63.68,97.74,107.88,8.69,4.57
22,8,55.9,119.74,129.81,8.69,3.79
22,9,50.62,110.85,123.06,5.34,5.45
22,10,49.11,95.52,134.46,8.69,26.06
22,11,59.77,126.55,113.15,1.64,1.91
22,12,55.1,111.0,128.79,8.69,16.4
22,13,56.42,112.96,112.24,8.69,26.06
22,14,54.47,121.19,125.22,1.63,11.98
22,15,55.91,96.31,119.92,1.01,7.22
22,16,62.3,109.32,111.05,7.56,19.45
22,17,59.35,122.46,104.18,2.74,13.7
22,18,47.08,108.99,128.56,8.69,3.37
22,19,58.87,95.11,103.65,0.29,7.8
22,20,52.04,121.37,124.12,2.23,11.8
22,21,64.37,85.32,116.43,2.4,16.87
22,22,59.34,123.14,121.5,1.1,17.87
22,23,52.47,120.23,128.02,4.61,0.98
23,0,57.99,125.88,128.86,6.32,27.05
23,1,56.89,96.94,110.56,4.09,27.05
23,2,55.04,113.17,130.69,1.01,0.3
23,3,63.75,99.47,122.11,4.64,11.47
23,4,57.48,95.98,128.39,1.08,5.95
23,5,57.67,127.45,99.04,5.55,3.71
23,6,57.87,106.6,127.31,4.0,3.34
23,7,49.83,124.41,125.46,7.05,27.05
23,8,69.13,108.65,121.17,9.02,24.59
23,9,66.8,131.77,138.43,1.03,5.02
23,10,49.7,100.13,141.04,5.57,11.72
23,11,49.79,90.22,106.99,8.27,5.8
23,12,60.78,117.92,121.59,3.8,10.14
23,13,50.19,94.45,103.61,1.42,14.68
23,14,48.81,110.68,123.21,0.45,9.25
23,15,60.35,119.95,112.64,0.84,27.05
23,16,50.69,101.39,114.04,1.52,0.73
23,17,53.21,111.36,104.5,5.92,18.48
23,18,57.53,114.15,140.88,1.35,12.82
23,19,55.67,115.68,110.41,2.02,16.08
23,20,49.52,93.49,137.23,3.9,27.05
23,21,56.0,125.73,119.1,1.82,20.12
23,22,55.63,124.56,138.77,9.02,17.54
23,23,53.23,126.66,106.85,2.19,25.55
24,0,68.38,110.68,132.01,2.71,18.13
24,1,56.47,123.33,128.4,2.07,12.75
24,2,47.66,98.02,134.71,2.42,14.16
24,3,53.32,141.02,135.45,8.94,13.41
24,4,54.73,104.31,103.74,6.08,20.59
24,5,52.5,102.71,143.22,8.58,5.06
24,6,56.78,84.93,106.4,6.93,25.69
24,7,46.03,96.45,125.95,0.85,7.85
24,8,52.6,117.81,125.57,8.94,18.81
24,9,58.66,123.87,119.49,7.36,2.41
24,10,65.08,108.99,124.94,1.17,17.52
24,11,51.23,85.51,83.76,0.4,3.83
24,12,58.7,117.73,141.94,8.63,2.8
24,13,52.17,125.36,157.44,8.94,5.38
24,14,52.36,89.88,124.14,2.27,16.65
24,15,47.25,113.99,128.0,0.57,26.82
24,16,44.91,117.06,119.73,0.01,26.82
24,17,52.03,113.77,105.69,0.11,23.15
24,18,50.88,121.72,106.61,8.94,2.56
24,19,49.14,116.95,109.27,3.1,26.82
24,20,61.37,106.43,115.16,2.91,2.9
24,21,55.63,114.28,116.82,8.94,19.77
24,22,55.74,113.33,118.49,3.49,8.95
24,23,51.73,127.71,115.87,7.21,7.29
25,0,61.1,109.43,122.61,7.68,28.13
25,1,60.71,108.87,110.12,7.1,17.47
25,2,38.86,118.61,122.57,9.38,27.73
25,3,48.43,96.58,136.11,9.38,10.03
25,4,43.06,119.69,136.88,9.38,9.77
