Sample_Number,Load_L1_T1,Load_L2_T1,Load_L3_T1,Wind_W1_T1,Wind_W2_T1,Load_L1_T2,Load_L2_T2,Load_L3_T2,Wind_W1_T2,Wind_W2_T2,Load_L1_T3,Load_L2_T3,Load_L3_T3,Wind_W1_T3,Wind_W2_T3,Load_L1_T4,Load_L2_T4,Load_L3_T4,Wind_W1_T4,Wind_W2_T4,Load_L1_T5,Load_L2_T5,Load_L3_T5,Wind_W1_T5,Wind_W2_T5,Load_L1_T6,Load_L2_T6,Load_L3_T6,Wind_W1_T6,Wind_W2_T6,Load_L1_T7,Load_L2_T7,Load_L3_T7,Wind_W1_T7,Wind_W2_T7,Load_L1_T8,Load_L2_T8,Load_L3_T8,Wind_W1_T8,Wind_W2_T8,Load_L1_T9,Load_L2_T9,Load_L3_T9,Wind_W1_T9,Wind_W2_T9,Load_L1_T10,Load_L2_T10,Load_L3_T10,Wind_W1_T10,Wind_W2_T10,Load_L1_T11,Load_L2_T11,Load_L3_T11,Wind_W1_T11,Wind_W2_T11,Load_L1_T12,Load_L2_T12,Load_L3_T12,Wind_W1_T12,Wind_W2_T12,Load_L1_T13,Load_L2_T13,Load_L3_T13,Wind_W1_T13,Wind_W2_T13,Load_L1_T14,Load_L2_T14,Load_L3_T14,Wind_W1_T14,Wind_W2_T14,Load_L1_T15,Load_L2_T15,Load_L3_T15,Wind_W1_T15,Wind_W2_T15,Load_L1_T16,Load_L2_T16,Load_L3_T16,Wind_W1_T16,Wind_W2_T16,Load_L1_T17,Load_L2_T17,Load_L3_T17,Wind_W1_T17,Wind_W2_T17,Load_L1_T18,Load_L2_T18,Load_L3_T18,Wind_W1_T18,Wind_W2_T18,Load_L1_T19,Load_L2_T19,Load_L3_T19,Wind_W1_T19,Wind_W2_T19,Load_L1_T20,Load_L2_T20,Load_L3_T20,Wind_W1_T20,Wind_W2_T20,Load_L1_T21,Load_L2_T21,Load_L3_T21,Wind_W1_T21,Wind_W2_T21,Load_L1_T22,Load_L2_T22,Load_L3_T22,Wind_W1_T22,Wind_W2_T22,Load_L1_T23,Load_L2_T23,Load_L3_T23,Wind_W1_T23,Wind_W2_T23,Load_L1_T24,Load_L2_T24,Load_L3_T24,Wind_W1_T24,Wind_W2_T24
11,112,112,56,10,30,56,112,120,30,30,56,120,120,10,10,112,120,56,10,10,56,112,112,10,10,56,112,120,10,30,112,56,120,30,10,120,120,56,10,10,56,120,56,10,30,112,120,56,30,30,56,112,120,30,30,120,112,112,10,30,112,120,56,10,30,120,56,112,30,10,120,56,112,30,10,112,120,56,30,10,120,56,120,10,10,120,56,120,10,10,56,120,120,30,10,112,112,112,30,10,56,56,112,30,10,56,56,56,10,10,56,120,56,30,10,56,56,56,10,10
12,120,56,56,30,10,120,120,56,30,10,120,112,112,30,30,120,120,120,10,30,120,120,112,10,10,56,112,56,10,10,56,112,120,10,10,112,56,112,10,30,120,120,56,10,30,120,56,56,30,10,120,56,112,30,10,120,112,120,10,10,112,56,120,30,30,112,120,120,30,10,120,56,56,10,30,112,120,112,10,30,120,112,120,30,30,120,120,56,10,30,112,120,120,30,10,56,112,120,10,30,120,112,112,30,30,112,120,120,10,10,112,112,56,30,30,56,56,120,10,30
13,112,120,120,10,10,112,56,112,10,30,112,120,120,30,10,112,120,120,30,30,56,120,112,10,10,56,120,120,30,10,112,56,112,10,30,120,120,112,10,30,112,56,112,30,10,56,56,120,30,30,120,120,120,10,10,112,112,112,30,30,56,56,120,30,10,56,120,120,10,30,56,120,56,10,10,112,56,112,10,30,112,56,112,30,30,56,56,120,30,10,112,120,112,30,30,120,120,56,30,10,56,56,120,30,30,112,56,120,30,10,112,56,112,30,10,112,56,56,30,10
14,120,56,56,30,30,56,112,112,10,30,120,112,112,10,30,56,56,56,30,10,120,56,112,10,10,112,112,120,10,30,120,112,112,30,30,56,56,112,30,10,112,56,120,10,10,112,120,112,30,30,112,56,112,30,10,120,112,120,30,30,112,112,112,30,10,56,112,120,10,10,56,56,112,30,10,112,112,112,10,30,112,56,56,30,10,56,120,56,30,30,112,56,112,30,30,120,112,112,10,10,120,120,56,30,10,56,120,56,30,30,56,112,56,10,30,120,112,112,10,10
15,56,112,120,30,30,56,112,56,30,30,120,120,120,30,10,112,120,120,30,10,56,112,56,10,30,112,56,120,10,30,112,120,112,10,10,120,56,112,30,10,120,112,112,10,10,56,120,112,10,30,112,56,56,30,10,112,120,56,30,30,120,56,120,10,10,56,56,120,10,30,120,112,56,10,10,56,112,112,30,30,112,120,112,10,30,112,120,56,10,10,56,56,120,10,30,56,56,56,10,10,120,56,112,10,10,120,120,112,10,10,112,112,112,10,30,56,120,120,10,30
16,56,120,112,30,30,120,112,56,10,10,120,112,112,10,30,120,120,56,30,10,56,120,112,10,10,120,112,120,30,30,56,120,120,30,30,120,112,120,30,10,56,112,120,10,10,112,120,120,30,10,56,112,120,30,30,56,56,112,10,30,56,120,112,10,30,56,56,112,10,10,112,56,112,10,30,120,112,56,30,10,112,56,120,30,30,112,112,56,30,30,56,120,120,30,30,120,120,120,30,10,56,56,120,10,10,56,112,56,10,10,120,112,112,30,10,112,112,112,10,10
17,112,56,56,30,10,112,56,120,30,10,112,120,56,30,10,56,112,120,10,30,112,56,112,30,30,112,120,112,10,30,56,56,112,30,10,56,56,112,30,10,112,56,112,10,30,112,56,56,10,30,112,56,112,10,10,112,56,112,10,30,120,56,120,30,10,120,112,120,10,30,120,120,112,10,30,112,56,120,30,10,112,56,120,10,30,112,56,112,30,10,56,56,120,10,10,56,112,120,10,10,56,56,120,30,10,112,112,112,30,30,56,112,112,10,10,120,112,120,10,30
18,56,56,120,10,10,56,120,120,10,30,56,112,112,10,10,120,120,120,10,30,56,112,56,30,10,120,56,56,10,10,56,112,56,30,10,120,112,120,30,10,120,112,112,30,30,120,120,120,30,30,56,56,112,10,10,56,56,56,30,10,112,112,56,10,30,112,112,56,10,30,56,112,112,30,30,112,120,56,30,10,120,120,120,10,30,56,56,112,30,10,56,56,120,30,10,120,56,120,10,30,120,56,56,30,30,120,56,112,10,30,112,112,56,30,10,112,112,112,30,10
19,56,56,112,30,10,56,120,120,10,10,120,56,112,10,10,112,112,120,10,10,120,112,56,30,30,56,56,112,10,10,56,120,56,10,10,120,120,112,30,10,120,120,56,30,30,56,112,120,30,10,120,112,112,30,10,56,112,112,10,10,120,120,120,30,30,112,120,120,10,30,56,120,112,10,30,56,112,112,30,10,120,112,120,10,30,56,120,112,10,10,112,120,120,30,30,112,120,120,10,30,120,120,56,30,10,120,112,120,30,10,112,120,112,30,30,56,112,112,30,10
20,56,56,56,10,30,120,120,56,10,10,120,112,56,10,30,112,56,56,30,10,56,112,56,30,10,112,56,56,30,10,56,112,120,10,10,56,120,112,10,10,120,120,56,10,10,56,112,120,30,30,56,120,120,10,10,112,120,112,30,30,56,112,56,30,10,120,120,112,30,10,112,56,112,30,10,120,120,56,10,30,56,120,120,30,30,112,56,56,30,10,56,112,112,30,30,56,120,120,10,10,112,120,120,30,30,112,112,56,10,30,56,112,120,10,10,120,120,112,30,30
21,120,120,112,10,30,112,112,56,10,10,112,112,56,10,10,56,112,112,30,10,112,120,120,10,10,56,112,56,10,10,112,112,112,10,30,56,112,120,30,10,112,56,120,10,30,112,120,112,10,30,112,56,112,30,30,120,112,112,30,30,56,120,120,30,10,56,112,120,30,10,120,120,112,30,10,112,120,112,30,30,56,56,120,10,10,56,112,112,10,30,56,112,56,10,10,56,112,120,30,10,56,120,56,10,30,112,56,112,10,10,120,56,56,30,30,56,112,56,30,10
22,56,112,120,10,10,56,56,112,30,30,120,112,120,10,10,120,56,112,30,30,120,56,112,10,10,112,120,120,10,10,56,56,112,30,30,56,120,120,30,10,56,120,112,10,30,56,120,112,10,30,56,56,56,30,30,112,112,120,30,10,56,112,112,30,10,56,112,56,10,10,120,112,112,30,30,120,120,112,10,10,56,120,112,10,10,112,120,112,30,30,56,56,56,30,30,120,120,120,30,10,56,56,120,10,10,120,120,112,30,30,56,112,56,10,10,56,56,56,30,30
23,112,112,120,30,30,56,120,112,10,30,120,120,120,30,10,120,120,120,30,30,56,120,112,10,10,112,56,56,10,30,56,112,112,10,30,112,120,120,30,10,120,120,120,10,10,112,120,120,30,10,120,120,56,10,30,56,56,112,10,30,120,56,56,30,30,120,56,112,10,10,56,112,112,10,10,112,120,112,10,10,112,120,56,30,10,120,120,120,10,30,120,120,120,10,10,56,120,112,10,10,120,120,56,10,10,112,120,56,30,10,56,56,112,30,30,120,112,112,10,30
24,120,120,120,10,30,112,112,120,10,30,112,112,112,10,30,112,56,120,10,30,120,56,120,30,10,56,120,120,10,10,56,112,56,10,10,112,56,56,30,10,56,112,112,10,30,120,120,120,10,10,112,112,112,10,30,56,112,112,10,10,112,56,112,30,30,112,112,56,30,30,120,120,112,10,30,120,112,112,30,30,112,56,112,10,30,56,56,120,30,10,56,120,56,30,30,56,112,56,10,30,112,56,56,30,30,120,112,112,10,10,120,112,56,10,10,112,112,56,30,30
25,112,112,56,30,30,56,120,112,10,30,120,112,112,30,30,120,112,56,10,30,56,120,56,10,30,112,112,56,30,10,112,56,56,10,30,56,56,112,10,10,56,120,112,30,10,112,120,56,10,10,56,56,120,10,30,120,112,56,10,30,112,112,120,30,30,56,56,120,30,10,112,120,112,30,10,112,120,112,30,30,112,120,56,10,10,56,56,112,30,10,112,112,56,10,30,120,56,120,30,10,120,120,56,30,30,56,112,120,10,30,120,112,120,10,10,120,120,120,10,10
26,112,56,56,10,10,120,112,56,10,30,112,120,56,30,10,56,112,120,30,30,112,112,120,30,10,56,112,120,10,30,56,112,56,10,30,120,120,56,30,30,120,120,120,30,30,120,112,112,30,10,112,112,112,10,10,120,112,120,10,10,112,56,56,30,30,112,112,120,10,30,120,112,56,10,10,112,112,56,30,10,56,120,112,10,30,56,56,56,30,10,120,120,112,30,30,112,56,112,10,10,112,120,112,30,10,120,56,56,10,30,120,56,56,30,30,120,120,112,30,30
27,56,120,56,10,30,120,56,120,10,30,112,56,120,10,10,120,112,112,10,30,56,56,56,30,30,112,120,120,10,10,56,56,120,30,30,56,56,112,30,30,56,56,120,10,30,112,112,120,30,30,56,56,120,30,30,112,112,112,30,30,56,112,56,10,10,112,56,120,10,30,120,56,56,10,30,112,56,120,10,30,56,120,112,30,30,112,120,112,10,10,112,112,120,10,30,112,112,120,10,10,56,120,56,10,30,112,56,112,10,10,120,112,120,10,30,112,120,120,10,10
28,120,56,56,30,10,112,56,120,10,10,112,56,120,10,30,56,112,112,30,30,120,56,56,10,30,112,120,112,10,10,56,56,120,30,10,120,56,56,10,30,56,120,120,10,30,112,120,120,10,30,120,56,56,10,30,112,56,112,30,30,120,112,56,10,30,112,120,112,10,10,120,120,120,30,10,112,112,56,10,30,120,56,120,10,10,56,120,112,30,10,56,112,56,10,10,120,56,120,30,10,56,56,120,10,30,56,112,56,10,30,56,112,56,30,30,112,112,120,10,10
29,56,120,120,30,30,112,112,112,30,10,120,56,56,10,10,112,120,112,10,10,112,112,56,10,30,56,56,56,10,10,112,56,56,10,30,120,120,120,30,30,120,56,56,30,10,120,56,112,30,30,56,120,120,10,10,56,120,112,30,10,112,112,120,10,30,56,112,56,30,10,120,120,112,30,10,56,120,120,10,10,112,112,112,10,30,120,120,120,30,30,56,120,112,10,10,112,112,112,30,10,112,56,56,10,10,120,120,120,30,10,120,112,56,10,30,120,112,120,10,30
30,112,112,56,10,30,112,120,120,30,30,120,56,56,10,10,120,56,120,10,30,112,120,112,30,10,120,120,56,10,30,112,56,112,10,10,112,120,112,10,30,112,112,112,30,30,112,112,112,10,30,120,120,112,30,30,120,56,112,30,10,112,120,112,10,10,112,56,56,30,30,120,112,120,30,30,56,112,56,30,30,120,56,112,10,30,112,120,120,10,30,56,120,120,30,10,112,120,56,10,30,112,112,56,30,10,120,56,56,10,30,112,56,120,30,30,56,112,120,30,10
31,56,56,112,10,30,112,120,56,10,30,112,112,120,30,30,112,120,120,30,10,120,120,120,30,30,56,120,120,30,30,56,120,56,30,10,120,56,112,30,30,112,120,112,30,10,120,120,120,10,10,120,120,112,30,30,112,120,120,10,10,120,56,56,30,30,120,120,120,10,30,120,112,112,30,30,56,112,112,10,30,56,112,56,30,30,112,120,56,30,10,112,120,120,10,10,112,112,120,30,30,56,112,120,30,10,120,112,56,30,10,120,112,56,10,30,112,120,112,30,30
32,120,56,56,10,10,56,112,56,10,30,120,112,112,10,10,120,112,120,10,10,120,120,112,10,10,120,112,56,30,10,56,120,120,10,10,56,56,56,10,10,56,112,112,30,10,112,112,120,30,30,120,56,56,10,30,56,112,120,10,30,56,120,56,10,30,112,120,120,30,10,120,112,120,30,10,112,112,120,10,30,56,120,56,30,30,120,120,112,30,30,56,120,56,10,30,120,56,56,30,10,120,112,120,30,30,112,56,56,10,10,56,120,120,30,10,56,120,112,10,10
33,112,120,56,30,30,112,120,56,10,10,56,56,56,10,30,112,56,120,30,10,120,56,112,10,10,112,112,56,10,10,120,112,120,30,10,120,56,112,10,10,120,120,56,10,10,120,120,56,10,10,112,56,56,10,30,56,56,120,10,30,56,120,56,10,10,112,120,112,30,30,120,120,112,10,30,56,120,120,30,30,112,120,112,30,10,112,120,56,30,30,120,112,56,10,10,112,56,56,30,30,112,112,56,10,10,120,56,56,30,30,120,56,56,30,30,56,112,112,30,10
34,112,120,112,30,30,112,112,120,30,30,120,112,112,30,30,56,56,56,10,30,112,56,112,10,10,112,56,120,10,10,120,56,56,10,10,56,120,112,30,30,120,56,120,10,10,56,112,56,30,10,56,112,120,10,30,112,56,112,30,30,120,112,120,10,10,56,120,112,30,30,56,120,56,30,30,120,120,56,30,30,56,120,56,30,30,120,120,112,10,10,112,112,120,30,30,56,120,120,10,30,112,56,56,30,30,112,120,120,10,30,56,120,112,10,30,56,56,56,10,30
35,112,112,112,10,10,112,56,112,10,10,56,112,56,10,30,120,120,112,30,30,112,120,120,30,30,120,120,112,10,10,120,56,112,30,10,112,120,120,10,30,112,120,120,30,30,56,120,112,10,10,120,112,112,30,30,56,112,120,30,10,112,56,56,30,10,56,112,120,30,30,120,120,112,30,10,120,56,120,30,30,112,56,120,30,10,112,112,112,10,10,56,56,112,10,10,120,120,120,30,10,120,120,112,30,10,112,120,120,10,30,112,56,120,30,10,112,56,120,10,10
36,56,56,112,30,10,120,112,56,30,10,112,56,56,30,10,120,120,56,10,30,112,56,120,30,10,112,120,120,10,30,112,120,112,30,30,56,112,112,10,10,120,120,120,30,30,120,56,56,10,10,56,120,112,30,10,56,56,56,30,30,56,120,112,10,30,120,56,56,30,30,120,120,120,10,10,120,56,56,30,10,56,56,120,10,30,56,120,120,30,30,56,120,112,30,10,120,112,112,30,10,56,112,56,10,30,56,56,112,30,10,120,120,112,10,30,56,112,120,30,30
37,112,112,112,10,30,112,112,120,30,30,120,120,56,30,10,112,112,112,30,30,112,112,56,10,10,112,120,112,30,10,56,56,56,30,10,112,120,112,10,30,56,112,112,10,10,56,112,112,30,30,56,112,112,10,10,120,112,56,10,30,112,56,56,10,30,120,120,120,30,30,56,120,120,10,10,120,112,56,30,10,120,56,112,10,10,120,112,56,10,10,120,120,120,30,10,56,56,56,10,30,56,112,112,10,30,112,56,56,30,10,112,120,120,10,30,112,56,120,10,10
38,112,112,112,30,10,56,120,112,10,30,56,120,56,10,30,120,56,112,10,30,112,56,120,10,30,112,120,56,10,10,56,56,112,10,30,112,120,120,10,30,112,112,120,10,10,112,56,56,10,30,56,112,112,30,10,120,112,56,10,30,120,120,56,10,30,112,120,120,30,30,56,112,112,10,10,112,112,56,30,10,56,56,56,10,10,56,56,120,10,10,112,112,112,10,10,120,56,112,10,10,56,56,112,30,30,56,120,56,30,30,112,112,56,30,10,120,120,56,10,10
39,112,112,56,30,30,56,120,120,30,10,120,56,112,10,30,120,112,56,10,10,56,112,56,30,30,120,112,56,10,10,112,120,120,30,10,112,112,56,30,10,56,56,56,30,10,112,120,112,30,10,112,112,112,30,30,120,120,120,30,10,112,112,56,30,10,56,120,112,10,10,120,56,56,10,10,120,112,112,30,30,112,56,56,10,30,112,120,112,30,10,112,112,56,10,30,56,120,112,30,30,56,56,112,30,30,120,120,56,30,30,112,112,112,10,10,112,56,120,30,10
40,112,56,56,30,30,112,112,112,10,10,112,120,56,30,30,56,112,120,10,10,56,112,112,30,30,112,112,112,10,10,56,56,112,10,10,112,112,120,30,30,120,120,120,30,30,112,112,120,10,10,112,120,112,30,10,112,56,112,10,30,56,112,56,10,10,120,56,120,10,30,120,120,56,10,30,120,56,56,30,10,120,120,112,30,10,120,56,56,10,10,120,56,120,30,10,120,56,112,10,10,112,56,112,30,10,120,120,112,30,10,120,120,112,30,30,112,56,56,30,10
41,112,112,56,10,10,120,112,56,30,10,120,112,112,10,10,56,112,112,10,10,112,56,112,10,30,120,112,112,30,10,56,112,56,10,10,112,120,120,30,10,120,112,112,10,30,112,112,56,10,10,120,56,112,30,30,112,112,120,10,10,120,120,120,30,30,120,56,56,10,30,120,120,56,30,30,112,112,56,30,30,56,120,120,10,10,112,112,112,10,30,56,56,120,30,10,112,56,120,30,10,120,56,112,30,10,112,120,120,30,10,112,56,112,10,30,120,112,56,30,10
42,120,112,112,30,10,56,112,56,30,10,120,112,112,10,30,120,120,120,30,10,112,112,112,30,10,112,120,120,10,30,56,112,56,10,30,112,56,56,30,10,56,56,112,30,10,120,56,120,10,30,56,112,56,30,30,120,56,56,10,30,56,120,112,10,30,120,56,120,10,30,56,112,112,10,30,120,56,56,30,10,112,56,112,10,30,120,56,56,10,10,120,56,120,30,10,112,56,120,10,30,56,112,112,30,10,120,56,56,30,10,56,56,56,10,30,120,112,120,30,10
43,112,120,120,10,30,120,120,120,10,30,120,56,112,10,10,56,112,120,10,10,56,56,112,10,30,56,56,56,10,10,56,112,56,10,10,112,112,112,30,30,56,120,120,30,30,120,112,112,10,10,56,112,56,30,30,120,120,120,30,10,112,112,56,10,30,112,56,120,30,30,120,112,112,10,10,56,56,112,30,10,56,112,112,10,10,56,112,56,10,30,112,112,112,30,10,56,56,120,30,30,56,112,112,30,30,112,120,120,30,30,56,112,120,10,30,56,112,120,30,30
44,120,56,120,30,10,120,112,120,30,10,56,56,120,10,10,112,56,56,30,10,112,112,56,10,10,112,120,120,30,30,112,112,120,30,30,112,120,56,10,30,56,112,120,10,10,120,112,56,10,10,112,56,112,10,10,120,120,56,10,10,112,56,120,30,10,120,112,56,10,10,120,112,120,30,30,112,56,120,10,30,112,56,56,30,30,56,112,56,10,30,112,56,120,30,10,112,112,112,10,10,56,120,120,10,30,120,112,56,30,10,120,112,112,30,30,56,56,112,10,30
45,56,120,112,30,30,120,112,120,30,30,56,120,120,10,10,120,120,112,10,30,112,120,56,30,10,120,112,56,30,10,56,112,56,30,10,56,112,112,30,30,120,56,120,30,10,112,56,112,10,30,56,56,112,30,30,56,120,120,30,10,56,56,120,30,30,112,112,120,10,30,112,112,120,30,30,56,112,56,10,30,112,112,120,30,30,112,120,112,10,10,112,112,112,30,30,112,112,56,10,10,56,112,120,10,10,112,112,112,10,10,112,112,120,10,30,56,120,120,30,10
